,smile
75,Cc1c2c(cn1C)NC(=O)CN=C2c1ccccc1
76,CCn1nc(C)c2c1C(c1ccccc1)=NCC(=O)N2
77,Cc1c(NC(=O)c2ccccc2O)c(=O)n(-c2ccccc2)n1C
78,CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O
79,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
80,Nc1ccc(S(=O)(=O)Nc2cnccn2)cc1
81,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1
82,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1
83,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(C(F)(F)F)ccc21
84,Cc1nn(C)c2c1C(c1ccccc1F)=NCC(=O)N2C
85,CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1
86,Cc1nn(C)c2c1C(c1cccc(Cl)c1)=NCCN2
87,NS(=O)(=O)c1cc(C(=O)c2ccc(O)cc2)cs1
88,COC1C(O)C(CO)OC1n1cnc2c(N)ncnc21
89,N#Cc1ccc(Nc2ncnc3c2CCC3O)cc1
90,CN(C)c1ncnc2c1ncn2Cc1ccccc1
91,CCOC(=O)n1nc(N)c2c1CN(C(=O)OC(C)(C)C)C2
92,O=C1c2cccnc2CN1Cc1c(F)cccc1F
93,COc1ccc(CN2Cc3ncccc3C2=O)cc1
94,O=C1c2cccnc2CN1Cc1ccc(Cl)cc1
95,O=C1c2cccnc2CN1Cc1cccc(Cl)c1
96,O=C1c2cccnc2CN1Cc1ccccc1C(F)(F)F
97,CCOc1ccnc(N2CCN(C(=O)c3sccc3C#N)CC2)n1
98,CCc1nc(C#N)c(N2CCc3ccccc3CC2)nc1C
99,COc1cccc(-c2csc(-c3cccnc3)n2)c1
100,CC1(O)C(O)C(CO)OC1n1ccc2c(N)ncnc21
101,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1
102,CSc1nc2ccccc2n1Cc1ccccn1
103,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O
104,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
105,CC(=O)c1ccc(NS(C)(=O)=O)c(Oc2ccc(F)cc2F)c1
106,Cn1c(=O)c2c(ncn2CC(=O)N2CCOCC2)n(C)c1=O
107,CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O
108,Nc1nc2c(ncn2C2OC(CO)C(O)C2F)c(=O)[nH]1
109,CNC(=O)OCc1nc(SC)n(C)c1COC(=O)NC
110,O=C(NCCc1c[nH]c2ccccc12)c1cccnc1
111,CC(C)n1c(=O)c2c(-c3noc(C4CC4)n3)ncn2c2ccccc21
112,O=C1CCCN1S(=O)(=O)c1ccc(Cl)cc1
113,O=C(c1cccnc1)N1CCN(c2cccc(C(F)(F)F)c2)CC1
114,CCc1c(OC)nc2nc(-c3noc(C)n3)cn2c1C
115,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1
116,CSc1c(CCC(C)O)c(O)c(C)c(O)c1C(C)=O
117,COc1cnc2c3c(nccc13)C(=O)c1ccccc1-2
118,Cc1cccc(C)c1NC(=O)c1ccc(S(C)(=O)=O)cc1
119,Cc1nc(Cn2cnc3c2c(=O)[nH]c(=O)n3C)no1
120,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
121,O=c1c2ccccc2nc(C(F)(F)F)n1-c1ccccc1
122,COc1ccc(C(N)=O)cc1C(=O)NCc1cccnc1
123,Cc1cc(=O)c(N)nn1-c1cccc(C(F)(F)F)c1
124,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
125,O=C(CN1CCCC1=O)Nc1ccc(Cl)cc1
126,O=C(c1ccccc1)c1ccc2[nH]c(=O)sc2c1
127,Nc1ccc(-c2cc(=O)c3cc(O)ccc3o2)cc1
128,CC1(C)Oc2cc(C#N)sc2C(N2CCCC2=O)C1O
129,O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21
130,Cc1oc2nc3c(c(NC(=O)CN4CCCC4=O)c2c1C)CCCC3
131,CCOC(=O)C1CN(Cc2ccccc2)C(=O)C1=O
132,O=C(Nc1ccccc1)c1c(O)n(-c2ccccc2)c2ncccc12
133,O=C(c1ccccn1)c1cnn2c(-c3ccncc3)ccnc12
134,COc1ccc(C2CNC(=O)NC2)cc1OC1CC2CCC1C2
135,Cc1ccc(S(=O)(=O)N2CCCC2C(=O)N2CCCC2)cc1
136,O=C1CN=C(c2ccc[nH]2)c2cc(Cl)ccc2N1
137,O=C(NC1CCCCNC1=O)c1cccc(C(F)(F)F)c1
138,Cn1ccc2cc(NC(=O)Nc3cccnc3)ccc21
139,Cc1c(C)c2ccc(OCc3nnc(C(C)C)s3)cc2oc1=O
140,Cc1ccc2c(c1)c1nnc(-n3ccnc3)nc1n2C
141,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1Br
142,O=c1c2ccccc2c(-c2cccnc2)nn1CCn1ccnc1
143,CCn1nc(-c2cccnc2)c2ccccc2c1=O
144,N#Cc1ccc(C(C(O)Cc2ccc(F)cc2)n2cncn2)cc1
145,Cc1ccc(NC(=O)Nc2cccnc2)cc1Cl
146,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12
147,CC(=O)Oc1ccccc1C(=O)Oc1c(C)occc1=O
148,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1
149,CCOc1cc(CNc2cn[nH]c(=O)c2Cl)ccc1OC
150,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
151,COc1nc(N)nc2c1ncn2C1OC(CO)C(O)C1O
152,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1
153,CC(=O)Nc1ccccc1-c1nc2ccccc2s1
154,Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)c(F)c2)o1
155,Cn1c2ccccc2c2cc(C(=O)N3CCOCC3)sc21
156,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
157,Nc1ccc(-c2cc(=O)c3c(N)cccc3o2)cc1
158,COc1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1OC
159,O=C1N=C(N2CCOCC2)CN1c1ccc(Cl)cc1
160,c1ccc2c(c1)CCCC2Nc1ncnc2[nH]cnc12
161,CCC(=O)NCCC1CCc2ccc3c(c21)CCO3
162,O=c1onc2n1-c1cc(Br)ccc1OC2
163,CC(=O)OC1Cc2ccccc2N(C(N)=O)c2ccccc21
164,COc1cc(N)nc2[nH]c(-c3ccc(F)cc3)c(-c3ccncc3)c12
165,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
166,CSc1cc(-c2ccc(Br)cc2)oc(=O)c1C#N
167,COc1ccnc(N2CCN(C(=O)c3cccs3)CC2)n1
168,COCC(NC(C)=O)C(=O)NCc1ccccc1
169,Cc1c(O)c(C)c2sc(NCc3cccnc3)nc2c1C
170,Cc1cc(O)c(C)c2sc(NCc3cccnc3)nc12
171,COc1cc(Br)c2c(c1OC)C(=O)CC2
172,COc1cc2ncc(-c3ccccc3)nc2cc1OC
173,O=C1c2ccccc2C2(c3ccccc3)OCCN12
174,COc1ccc2[nH]cc(CCNC(=O)C3CC3)c2c1
175,COc1ccc(CC(=O)c2c(O)cc(O)cc2O)cc1
176,O=C(Nc1ccc(-c2cc[nH]n2)cc1)c1ccccc1
177,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1
178,CC(=O)N1CCN(C(=O)Nc2ccc(F)cc2)CC1
179,O=C(NCC1CCCO1)c1c[nH]c2ccccc2c1=O
180,COC(=O)C1c2c(oc3cc(CO)cc(O)c3c2=O)C=CC1O
181,CCSc1nc(-c2ccc(OC)c(OC)c2)cc2nccn12
182,COc1ccccc1C(=O)Nc1ccnc2[nH]ncc12
183,COc1ccc2c(c1)S(=O)(=O)N=C(NC(C)C)N2
184,Oc1ccc(-c2nc3cc(O)cc(Br)c3o2)cc1
185,O=C(NC1Cc2ccccc2C1)c1ccc(F)cc1
186,c1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1
187,CCCC(=O)Nc1n[nH]c2cnc(-c3ccccc3)cc12
188,COC1=CC(=O)OC1C(O)c1ccccc1Cl
189,COc1c(C)cnc(CSc2nnnn2C)c1C
190,COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC
191,O=c1[nH]c(=O)n(C2COC(CO)O2)cc1Br
192,COc1ccc(Cc2cnc(N)nc2N)c(OC)c1
193,CC(=O)c1ccc(N2CCN(C(=O)c3cccnc3)CC2)cc1
194,Nc1nc2c(ncn2C2CC(O)C(CO)O2)c(=O)[nH]1
195,COc1nc2nc(-c3noc(C)n3)cn2c2c1CCCC2
196,COc1ccc2c(c1)C(=O)C(Cc1cccnc1)CO2
197,CC(c1ccncn1)C(O)(Cn1cncn1)c1ccc(F)cc1F
198,COc1c(C(C)=O)c(O)c(SC)c2occc12
199,Cc1cc(C(=O)Nc2c(C)cccc2C)ccc1N
200,Cn1c(=O)oc2ccc(C(=O)c3ccccc3)cc21
201,OCC(Cc1ccccc1)Nc1ncnc2[nH]cnc12
202,Cc1cc(N2CCN(S(C)(=O)=O)CC2)ncn1
203,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
204,Cc1cc(=O)c(N)nn1-c1cc(C(F)(F)F)ccc1Cl
205,O=C(CN1CCCC1=O)N1CCN(c2cccc(Cl)c2)CC1
206,Cc1cccnc1-n1c(C)nc2ccccc2c1=O
207,CC1(C)Oc2cc(C(N)=O)sc2C(N2CCCC2=O)C1O
208,O=C(CCc1ccc(O)cc1)c1ccc(O)cc1O
209,Cn1c(O)c(C(=O)Nc2ccccc2)c2cccnc21
210,CC(C)(C)n1c(O)c(C(=O)Nc2ccccc2)c2cccnc21
211,COc1ccc(C(=O)NC2CCCCNC2=O)cc1
212,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N
213,CCC(=O)c1cc2n(c(=O)c1C)Cc1cc3ccccc3nc1-2
214,CCC(O)c1cc2n(c(=O)c1C)Cc1cc3ccccc3nc1-2
215,CC(=O)Nc1ccc(S(=O)(=O)NCC2CCCO2)cc1
216,Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)sn1
217,Cn1ccc2cc(NC(=O)Nc3cncnc3)ccc21
218,CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1
219,CNC(=O)c1cccc(NC(=O)Cc2cccc3ccccc23)c1
220,COc1ccnc(N2CCN(C(=O)c3ccco3)CC2)n1
221,COc1ccnc(N2CCN(C(=O)c3ccccc3)CC2)n1
222,COc1ccnc(N2CCN(C(=O)c3ccccn3)CC2)n1
223,NC(=O)c1ccccc1NC(=O)Nc1ccc(Cl)c(Cl)c1
224,Cc1ccc(NS(=O)(=O)c2ccc(F)cc2)cn1
225,O=C(Nc1ccccc1)Nc1ccc2ncccc2c1
226,O=C(Nc1cccnc1)Nc1cccc(C(F)(F)F)c1
227,O=C(Nc1cccnc1)c1cc(=O)c2ccccc2o1
228,CC(Oc1ccc(Cl)cc1)c1ccnc2ncnn12
229,O=C(Cc1ccccc1)NCCc1c[nH]c2ccccc12
230,COc1ccc(C2(C#N)CCC(=O)CC2)cc1OC1CCCC1
231,COCC(=O)Nc1ccccc1-c1nc2ccccc2[nH]1
232,CC(=O)Nc1ccccc1-c1nc2ccccc2o1
233,CCOC(=O)c1c(O)c2cccnc2n(Cc2ccccc2)c1=O
234,NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2CO)cc1
235,COc1ccc(S(=O)(=O)NC2CCc3ccccc32)cc1OC
236,COc1ccc(S(=O)(=O)NC2CCCc3ccccc32)cc1OC
237,COc1ccc(S(=O)(=O)N2CCc3ccccc3C2)cc1OC
238,CN(c1ccccc1)c1nc(N2CCOCC2)nc(-n2ccnc2)n1
239,O=C1N=C(N2CCCCC2)CN1c1ccc(Cl)cc1
240,O=C(c1ccccn1)N1CCN(C(=O)c2ccccn2)CC1
241,COc1ccccc1CNC(=O)c1ccc2cnccc2n1
242,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1F
243,O=C(C1c2ccccc2Oc2ccccc21)N1CCOCC1
244,CN(C)S(=O)(=O)N1CCN(c2ncccn2)CC1
245,Cc1sc2[nH]c(=O)n(C3CCCCC3)c(=O)c2c1C
246,CNc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c(NC)n1
247,COc1ccc2cc(-c3cccc(N)c3)cc(CCNC(C)=O)c2c1
248,Cc1ccc(OCc2nn3c(=O)c(C)nnc3s2)cc1
249,Cc1nnc2sc(COc3ccc(Cl)cc3)nn2c1=O
250,Clc1ccc(-c2c[nH]nc2N2CCOCC2)cc1
251,COc1cccc(Oc2ccc(NC(C)=O)cc2)c1
252,COc1ccc(C(C)Cn2cc[nH]c2=O)cc1OCC1CC1
253,O=c1[nH]c(-c2ccccc2)nn1-c1ccccc1Cl
254,CC#Cc1cn(C2CC(O)C(CO)O2)c(=O)nc1N
255,COc1ccc(C(=O)Nc2c(C)cccc2C)cc1
256,Cc1cccc(C)c1NC(=O)c1ccc(C#N)cc1
257,Nc1nc2c(ncn2C2CCC(CO)O2)c(=O)[nH]1
258,COc1ccc(C=Cc2cc(O)c(OC)c(OC)c2)cc1O
259,c1ccc(CSc2ncnc3ccccc23)nc1
260,Nc1ncnc2c1ncn2C1OC(CO)CC1F
261,C=CCc1c(OC(C)=O)c2cccnc2n(-c2ccccc2)c1=O
262,COc1ccc(Cc2cnc(N)nc2N)cc1OC
263,COc1cc(O)cc(CCc2ccc(O)c(OC)c2)c1
264,COc1c(C)cnc(CSc2nccn2C)c1C
265,O=c1cc(-c2ccncc2)nc(-c2cccnc2)[nH]1
266,O=c1c2ccccc2oc2nc3n(c(=O)c12)CCCS3
267,O=c1c2cc(Cl)ccc2oc2nc3n(c(=O)c12)CCCS3
268,O=C(NC1CCN(C(=O)C2CC2)CC1)c1ccc(F)cc1
269,NC(=O)c1cccc2[nH]c(-c3ccc(O)cc3)nc12
270,CC(C)CCNC(=O)c1c[nH]c2ccccc2c1=O
271,CCOc1ccc2[nH]cc(C(=O)NCc3cccnc3)c(=O)c2c1
272,O=C(NCc1ccccc1)c1c[nH]c2c(F)cccc2c1=O
273,CC(C)c1cccc(C(C)C)c1NCc1ccccn1
274,CC1CCC(NC(=O)c2cc3ccccc3o2)CC1
275,COc1ccc2[nH]cc(CCNC(=O)c3ccco3)c2c1
276,COc1ccc2[nH]cc(CCNC(=O)C3CCCO3)c2c1
277,COc1ccc(-c2cnc3c(-c4cccnc4)cnn3c2)cc1
278,CCOC(=O)c1c(N)c(C#N)cn1-c1ccccc1
279,CCOC(=O)c1c(NC(=O)C2CC2)sc2c1CCN(C(C)=O)C2
280,Clc1cc(-c2ccccn2)nc(-c2ccccn2)c1
281,O=C(Nc1ccnc2[nH]ncc12)c1ccccc1Cl
282,CC(C)Oc1ccccc1C(=O)Nc1ccnc2[nH]ncc12
283,Cn1nnc(NC(=O)C(c2ccccc2)c2ccccc2)n1
284,CCOC(=O)Cn1nc(C(F)(F)F)c(Br)c1C
285,O=C(COc1ccc(Cl)cc1Cl)Nc1nccs1
286,COC1OC2COC(c3ccccc3)OC2CC1O
287,CC(C)Nc1nc(NC(C)C)nc(N(C)C(N)=O)n1
288,CCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1C(F)(F)F
289,CC(=O)N1c2ccccc2C(Nc2ccccc2)CC1C
290,O=C(c1ccc2c(c1)OCO2)N1CCCc2ccccc21
291,CCC(=O)NC1CC(C(C)(C)NC(=O)CC)CC=C1C
292,Nc1ccc(-c2nc3cc(Cl)ccc3o2)c(O)c1
293,O=C(NCc1ccccn1)c1ccc(Cl)c(Cl)c1
294,NC(=O)c1c(NC(=O)c2ccco2)sc2c1CCCC2
295,NC(=O)c1c(NC(=O)C2CC3CCC2C3)sc2c1CCCC2
296,Cc1cccc(NC(=O)c2cc(C(=O)Nc3cccc(C)c3)n(C)n2)c1
297,Cn1nc(C(=O)NCc2ccccc2)cc1C(=O)NCc1ccccc1
298,CC(=O)c1nnn(-c2ccccc2)c1Nc1ccccc1
299,COc1cc(C=c2sc3nc4ccccc4n3c2=O)ccc1O
300,Cc1ccccc1OCC(=O)Nn1nnnc1Nc1ccccc1
301,CCOC(=O)c1cnc2c(Br)c(=O)[nH]n2c1C
302,Cc1cc(-c2ccccc2)n2[nH]c(=O)c(Br)c2n1
303,CCc1c(C)sc(NC(=O)c2cccs2)c1C(=O)OC
304,CCc1c(C)sc(NC(=O)c2ccncc2)c1C(=O)OC
305,N#Cc1c(-c2ccccc2)cc(-c2ccco2)c(C#N)c1N
306,CC(=O)Nc1nc(C2CC2)cc(-c2ccccc2)c1C#N
307,O=C(COc1ccc(Cl)cc1Cl)N1CCOCC1
308,CC(=O)NC1C(OCc2ccccc2)OC(CO)C(O)C1O
309,CCOC(=O)C1C(=O)CC(C)(O)C(C(=O)OCC)C1c1ccccc1
310,O=C(NCc1ccccc1)c1ccccc1C(=O)NCc1ccccc1
311,Cc1nn(-c2ccccc2)c2nc3c(nc12)c(C)nn3-c1ccccc1
312,Cc1ccc(NC(=O)COc2ccccc2)cc1F
313,CC(=O)Nc1ccc(S(=O)(=O)NC(C)(C)C)cc1
314,COc1ccccc1NS(=O)(=O)c1ccc(NC(C)=O)cc1
315,CC(=O)Nc1ccc(S(=O)(=O)NCc2ccccc2)cc1
316,Cc1cccc(OCC(=O)Nc2ccc(C(N)=O)cc2)c1
317,NS(=O)(=O)c1ccc(NC(=O)C2CC2c2ccccc2)cc1
318,O=C(Nc1cnn(Cc2ccc(F)cc2)c1)C1CC1c1ccccc1
319,O=C1OC(C2OC(=O)c3ccccc32)c2ccccc21
320,CC(=O)Nc1ccc(C(=O)Nc2ccc(C)cc2)cc1
321,CC(=O)Nc1ccc(C(=O)Nc2cccc(Br)c2)cc1
322,CC(=O)Nc1ccc(C(=O)Nc2cccc(Cl)c2)cc1Cl
323,CC(=O)Nc1ccc(C(=O)Nc2ccccc2)cc1
324,CC(=O)Nc1ccc(C(=O)Nc2cccc(Cl)c2)cc1
325,CC(=O)Nc1ccc(C(=O)Nc2cc(Cl)ccc2Cl)cc1
326,CC(=O)Nc1ccc(C(=O)Nc2ccc(Cl)cc2Cl)cc1
327,O=C(Nc1ccc(F)cc1)Nc1ccc(C(=O)N2CCCCC2)cc1
328,O=C(Nc1ccccc1C(=O)N1CCCCC1)c1cccc(Cl)c1
329,C=CCn1c(SCC(=O)OC)nc2ccccc2c1=O
330,Cc1c(NC(=O)c2cc[nH]n2)c(=O)n(-c2ccccc2)n1C
331,CC(=O)c1ccc(NC(=O)c2c(C)cc(=O)oc2C)cc1
332,CN(C(=O)c1ccc(F)cc1)c1ccccc1C(=O)N1CCOCC1
333,CCOC(=O)CSc1nc2ccccc2c(=O)n1-c1ccccc1
334,NC(=O)CSc1nnc(SCc2ccccc2)s1
335,CCOC(=O)c1c(C)[nH]c(C)c1-c1ccccc1OC
336,Nc1nc(CSc2ccccn2)nc(Nc2ccccc2)n1
337,Cc1ccc(NC(=O)C2CCCN2C(=O)C(C)(C)C)cc1
338,CC(=O)N1CCN(S(=O)(=O)c2ccc(C)cc2)C1C(C)C
339,O=C(Cc1ccccc1)Nc1cccc(C(=O)Nc2nccs2)c1
340,O=C(NCC1CCCO1)c1ccc(NC(=O)c2cccs2)cc1
341,CCC(C)NC(=O)Cn1nc(C(F)(F)F)c(Cl)c1C
342,NC(=O)C1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1
343,COC(=O)Cn1c(C(O)c2ccccc2)nc2ccccc21
344,CC(=O)c1c(C)n(Cc2ccco2)c2ccc(O)cc12
345,O=C(CSc1nnc2n1CCCCC2)Nc1ccc(F)cc1
346,Cc1ccc(Nc2nc3c(c(=O)n(C)c(=O)n3C)n2CCO)cc1
347,O=C1COc2ccc(C(=O)c3ccccc3)cc2CN1
348,COc1cc(OC)cc(Oc2nc(C)c(Cl)c(C)c2C(N)=O)c1
349,Nc1ncnc2[nH]c(SCC(=O)NCc3ccco3)nc12
350,Nc1ncnc2[nH]c(Sc3ncnc4ccccc34)nc12
351,N#Cc1cn(CC(=O)NC2CCCCCC2)c2ccccc12
352,N#Cc1cn(CC(=O)NCc2ccccc2)c2ccccc12
353,Cc1c(C#N)c2ccccc2n1CC(=O)NCC1CCCO1
354,Cc1c(C#N)c2ccccc2n1CC(=O)NCc1ccco1
355,Cc1c(C#N)c2ccccc2n1CC(=O)NCc1ccccc1
356,Cc1c(C#N)c2ccccc2n1CC(=O)NCc1ccc2c(c1)OCO2
357,Cc1c(C#N)c2ccccc2n1CC(=O)N1CCOCC1
358,Nc1ncnc2[nH]c(SCc3nc4ccccc4[nH]3)nc12
359,O=C(Nc1ccc(NC(=O)c2cccs2)cc1)c1cccnc1
360,COc1cc2ccccc2cc1C(=O)NCc1cccnc1
361,Cc1cccc(OCC(=O)NCc2cccnc2)c1C
362,COc1cccc(C(=O)Nc2ccc(C(C)=O)cc2)c1
363,Cc1cc(C=c2sc3nc4ccccc4n3c2=O)c(C)n1C
364,N#Cc1c(N)c(C#N)c(-c2ccc(O)cc2)c2c1CCCC2
365,O=C(Nn1cnnc1)c1ccc(C(=O)Nn2cnnc2)cc1
366,CCCN(CCC)S(=O)(=O)c1ccc(NC(C)=O)cc1
367,CCC(CO)NS(=O)(=O)c1ccc(NC(C)=O)cc1
368,CC(=O)Nc1ccc(S(=O)(=O)N(C)CCO)cc1
369,CC(=O)Nc1ccc(S(=O)(=O)NC2CCCC2)cc1
370,CC1CCN(C(=O)c2ccccc2Br)CC1
371,COc1ccc(CC(=O)N(C)C2CCCCC2)cc1
372,O=C(c1cccnc1)N(Cc1ccccc1)Cc1ccccc1
373,O=C(c1cccc(C(=O)N2CCCC2)c1)N1CCCC1
374,CC1CCCCN1C(=O)c1ccc(C(=O)N2CCCCC2C)cc1
375,CN(C1CCCCC1)S(=O)(=O)c1ccccc1
376,CC1CCCCN1S(=O)(=O)c1ccc(Cl)cc1
377,Cc1ccc(S(=O)(=O)NCCc2ccccc2)cc1
